density;residual sugar;alcohol;total sulfur dioxide;chlorides;free sulfur dioxide;volatile acidity;citric acid;quality
0.9902;3.4;12.7;87.0;0.023;19.0;0.32;0.37;6
0.9928;3.6;10.9;116.0;0.024;35.0;0.24;0.39;5
0.9896;2.7;13.5;128.0;0.041;35.0;0.44;0.37;7
0.998;2.2;9.7;164.0;0.042;28.0;0.25;0.48;5
0.9954;1.8;9.2;178.0;0.041;44.0;0.14;0.28;6
0.9938;2.1;10.6;187.0;0.036;33.0;0.18;0.42;7
0.9918;6.6;13.3;141.0;0.033;36.0;0.43;0.42;7
0.9896;2.7;13.5;128.0;0.041;35.0;0.44;0.37;7
0.9944;5.1;10.1;131.0;0.037;23.0;0.26;0.22;5
0.9999;17.55;9.4;233.0;0.042;62.0;0.66;0.72;4
0.9953;5.2;10.6;167.0;0.055;41.0;0.2;0.4;7
0.992;1.1;11.3;80.0;0.046;25.0;0.21;0.34;6
0.9925;1.1;10.8;73.0;0.045;20.0;0.18;0.31;7
0.9981;10.7;10.4;195.0;0.051;46.0;0.57;0.44;5
0.9952;5.15;10.5;160.0;0.034;48.0;0.26;0.23;7
0.9927;1.1;9.3;150.0;0.049;28.0;0.245;0.33;5
0.9927;1.1;9.3;152.0;0.047;24.0;0.245;0.32;6
0.9911;1.8;12.2;165.0;0.037;52.0;0.25;0.41;7
0.9936;1.0;9.2;150.0;0.138;58.0;0.16;0.73;5
0.9959;1.8;10.3;104.0;0.057;29.0;0.22;0.34;6
0.9946;1.4;9.4;157.0;0.046;28.0;0.18;0.65;6
0.9948;6.7;10.2;223.0;0.036;88.0;0.17;0.27;6
0.9955;6.8;9.0;212.0;0.034;65.0;0.29;0.16;6
0.9951;6.8;9.3;245.0;0.036;64.0;0.21;0.38;6
0.9952;7.1;9.2;236.0;0.037;63.0;0.23;0.3;6
0.9946;1.5;9.4;156.0;0.05;31.0;0.19;0.68;6
0.9946;1.4;9.4;157.0;0.046;28.0;0.18;0.65;6
0.9944;1.45;9.5;223.0;0.039;77.5;0.29;0.46;6
0.9938;1.2;9.9;73.0;0.036;15.0;0.14;0.35;5
0.9963;7.4;11.1;174.0;0.059;36.0;0.31;0.34;7
0.991;4.2;12.3;116.0;0.028;36.0;0.28;0.34;8
1.0003;14.6;8.6;163.0;0.044;45.0;0.22;0.42;7
0.9966;10.5;9.4;145.0;0.04;21.0;0.31;0.29;5
0.9993;13.8;9.4;190.0;0.048;55.0;0.35;0.56;6
1.0003;14.6;8.6;163.0;0.044;45.0;0.22;0.42;7
0.9938;1.1;10.9;126.0;0.037;23.0;0.5;0.47;5
0.9965;5.3;9.4;162.0;0.169;32.0;0.39;0.31;5
0.9938;1.1;10.9;126.0;0.037;23.0;0.5;0.47;5
0.9993;13.8;9.4;190.0;0.048;55.0;0.35;0.56;6
0.9938;1.5;9.2;132.0;0.064;20.0;0.22;0.27;6
1.0003;14.6;8.6;163.0;0.044;45.0;0.22;0.42;7
0.9966;10.5;9.4;145.0;0.04;21.0;0.31;0.29;5
0.9942;4.9;10.8;133.0;0.083;10.0;0.24;0.36;6
0.9928;1.9;10.5;153.0;0.025;14.0;0.27;0.3;6
0.991;1.7;12.5;140.0;0.026;29.0;0.16;0.41;6
0.9911;1.8;12.1;168.0;0.028;26.0;0.27;0.34;7
0.9977;10.7;8.7;147.0;0.039;51.0;0.31;0.74;5
0.9927;8.8;12.7;151.0;0.026;50.0;0.45;0.36;8
0.9911;1.8;12.1;168.0;0.028;26.0;0.27;0.34;7
0.991;1.7;12.5;140.0;0.026;29.0;0.16;0.41;6
0.9912;1.8;11.4;147.0;0.05;40.0;0.16;0.29;7
0.9907;1.6;12.9;110.0;0.032;35.0;0.21;0.4;7
0.9902;1.4;12.8;109.0;0.029;29.0;0.32;0.33;7
0.992;1.6;11.2;78.0;0.034;15.0;0.16;0.3;6
0.994;1.5;9.7;98.0;0.033;16.0;0.16;0.33;6
0.9966;9.2;9.7;191.0;0.038;54.0;0.23;0.32;6
0.993;1.1;10.3;79.0;0.037;14.0;0.17;0.3;6
0.993;4.3;11.6;102.0;0.03;10.0;0.39;0.22;4
0.993;4.2;11.6;102.0;0.031;10.0;0.41;0.22;4
0.9966;9.2;9.7;191.0;0.038;54.0;0.23;0.32;6
0.9942;5.0;10.9;131.0;0.045;30.0;0.38;0.33;6
0.9925;6.8;12.6;122.0;0.045;29.0;0.42;0.38;7
0.9925;5.2;12.4;163.0;0.04;45.0;0.34;0.39;6
0.9928;4.75;11.5;166.0;0.042;45.0;0.23;0.28;5
0.995;5.9;10.2;159.0;0.045;52.0;0.245;0.38;6
0.9939;7.7;11.4;176.0;0.032;51.0;0.2;0.4;5
0.9958;6.4;9.6;212.0;0.067;39.0;0.19;0.42;6
0.9952;8.1;10.3;163.0;0.035;60.0;0.2;0.36;6
1.0;17.35;9.3;228.0;0.038;61.0;0.59;0.71;5
0.9948;1.8;10.7;114.0;0.05;17.0;0.14;0.45;7
0.99;1.8;12.8;105.0;0.047;34.0;0.24;0.4;8
0.9958;1.5;9.5;142.0;0.049;23.0;0.14;0.59;5
0.9948;1.6;10.4;130.0;0.046;22.0;0.15;0.68;6
0.9949;1.6;10.3;94.0;0.049;14.0;0.17;0.55;6
0.997;13.5;9.9;142.0;0.041;37.0;0.365;0.08;6
0.9927;3.75;10.7;116.0;0.039;37.0;0.23;0.22;6
0.9938;1.3;10.5;160.0;0.04;16.0;0.25;0.54;5
0.9949;1.3;9.6;186.0;0.046;14.0;0.32;0.42;5
0.9953;6.2;9.3;169.0;0.04;46.0;0.31;0.4;6
0.997;9.7;10.0;162.0;0.044;63.0;0.2;0.36;6
0.9932;2.0;11.2;190.0;0.026;40.0;0.255;0.26;6
0.9927;1.4;10.8;177.0;0.039;21.0;0.15;0.34;5
0.9932;1.1;10.3;96.0;0.044;25.0;0.15;0.31;6
0.9955;6.6;8.8;234.0;0.038;59.0;0.25;0.53;5
0.9914;1.5;12.8;114.0;0.044;6.0;0.19;0.42;6
0.991;4.6;13.2;114.0;0.028;17.0;0.43;0.37;6
0.992;0.9;10.1;152.0;0.037;28.0;0.31;0.3;6
0.9924;1.7;11.0;161.0;0.093;40.0;0.2;0.26;5
0.9927;1.3;10.8;182.0;0.043;21.0;0.16;0.35;6
0.9911;2.3;12.8;114.0;0.04;28.0;0.32;0.48;7
0.9958;6.8;9.2;168.0;0.042;33.0;0.22;0.72;6
0.9928;1.5;10.5;167.0;0.047;44.0;0.26;0.33;6
0.9902;1.2;11.7;81.0;0.028;13.0;0.37;0.33;6
0.994;2.1;9.5;104.0;0.052;20.0;0.19;0.43;5
0.994;2.2;9.5;108.0;0.05;24.0;0.21;0.41;5
0.9972;8.8;8.8;110.0;0.058;24.0;0.15;0.32;6
1.0004;17.0;9.3;210.0;0.05;69.0;0.16;0.64;7
0.991;1.8;12.6;180.0;0.034;62.0;0.21;0.39;8
0.9918;1.2;12.4;107.0;0.048;26.0;0.24;0.5;6
0.995;2.3;10.1;189.0;0.047;60.0;0.21;0.24;6
0.9941;7.0;11.2;161.0;0.042;38.0;0.29;0.36;8
0.9956;6.4;10.0;251.0;0.048;40.0;0.18;0.3;5
0.9956;6.4;10.0;251.0;0.048;40.0;0.18;0.3;5
0.9959;12.15;10.8;116.0;0.033;37.0;0.58;0.27;6
0.9922;0.8;10.0;121.0;0.04;50.0;0.16;0.32;6
0.9931;2.0;10.4;151.0;0.029;13.0;0.54;0.23;5
0.9959;12.15;10.8;116.0;0.033;37.0;0.58;0.27;6
0.9984;12.4;9.8;181.0;0.059;52.0;0.25;0.31;6
0.9908;1.9;12.2;165.0;0.041;51.0;0.23;0.37;8
0.991;1.1;12.7;113.0;0.043;36.0;0.39;0.37;8
0.9928;6.2;12.2;163.0;0.039;46.0;0.46;0.39;7
0.9936;6.3;11.9;162.0;0.039;35.0;0.35;0.4;7
0.9941;7.0;11.2;161.0;0.042;38.0;0.29;0.36;8
0.9924;0.9;10.4;61.0;0.042;15.0;0.35;0.39;4
0.9917;3.9;12.8;122.0;0.034;22.0;0.57;0.39;7
0.9906;3.9;12.7;130.0;0.027;40.0;0.37;0.33;7
0.995;2.3;10.1;189.0;0.047;60.0;0.21;0.24;6
0.9956;6.4;10.0;251.0;0.048;40.0;0.18;0.3;5
0.9955;1.8;9.0;179.0;0.04;43.0;0.13;0.3;5
0.9907;1.1;11.4;143.0;0.04;38.0;0.19;0.41;5
1.0;15.4;8.9;191.0;0.05;55.0;0.22;0.41;6
0.9953;6.5;9.3;167.0;0.039;43.0;0.29;0.4;6
0.9911;2.4;12.0;103.0;0.048;35.0;0.35;0.32;8
0.9922;1.4;10.8;132.0;0.04;31.0;0.19;0.32;7
0.9951;5.7;10.5;158.0;0.044;56.0;0.12;0.26;6
0.9948;5.7;10.6;189.5;0.038;56.0;0.13;0.28;7
0.9906;1.4;11.3;115.0;0.04;42.0;0.25;0.33;7
0.994;1.4;9.5;96.0;0.051;15.0;0.32;0.16;4
0.9907;1.1;11.4;143.0;0.04;38.0;0.19;0.41;5
0.9927;1.2;10.1;140.0;0.046;35.0;0.13;0.28;7
0.9914;0.9;10.9;95.0;0.037;22.0;0.14;0.41;6
0.9958;3.8;8.9;115.0;0.058;19.0;0.27;0.24;5
1.0;15.4;8.9;191.0;0.05;55.0;0.22;0.41;6
0.9984;14.15;9.3;185.0;0.168;42.0;0.64;0.47;5
0.9941;1.9;10.4;116.0;0.052;23.0;0.28;0.39;6
0.9944;9.2;12.0;162.0;0.042;41.0;0.26;0.41;7
0.998;8.2;9.5;181.0;0.044;37.0;0.22;0.56;6
0.998;8.2;9.5;181.0;0.044;37.0;0.22;0.56;6
0.9902;2.7;12.4;121.0;0.032;24.0;0.23;0.34;7
0.9911;1.7;11.2;130.0;0.032;30.0;0.3;0.32;7
0.9929;1.7;11.4;134.0;0.047;6.0;0.27;0.41;6
0.993;1.7;11.4;136.0;0.05;10.0;0.28;0.41;6
0.9918;1.6;11.1;132.0;0.047;46.0;0.28;0.3;7
0.992;0.9;10.4;126.0;0.054;5.0;0.46;0.2;6
0.9932;8.5;12.0;152.0;0.044;36.0;0.38;0.32;7
0.992;5.7;12.3;98.0;0.039;24.0;0.43;0.3;7
0.994;3.1;9.1;92.0;0.045;28.0;0.56;0.16;6
0.9923;1.3;10.5;102.0;0.046;25.0;0.36;0.56;6
0.993;1.6;11.4;133.0;0.047;5.0;0.23;0.4;6
0.9956;1.3;9.5;138.0;0.042;26.0;0.33;0.29;5
0.9907;4.5;13.7;116.0;0.039;17.0;0.49;0.13;7
0.99;2.8;13.4;85.0;0.034;15.0;0.42;0.33;6
0.9918;1.2;11.3;143.0;0.044;12.0;0.18;0.29;7
0.9926;0.9;10.0;180.0;0.037;73.0;0.19;0.4;6
0.995;7.4;10.1;123.0;0.034;33.0;0.19;0.26;6
0.99;1.4;12.2;81.0;0.029;23.0;0.16;0.47;6
0.99;2.8;13.4;85.0;0.034;15.0;0.42;0.33;6
0.9946;4.6;9.3;101.0;0.042;19.0;0.135;0.3;6
0.9907;4.5;13.7;116.0;0.039;17.0;0.49;0.13;7
0.9898;1.6;12.3;98.0;0.039;27.0;0.19;0.33;7
0.9918;1.2;11.3;143.0;0.044;12.0;0.18;0.29;7
0.9986;13.1;8.9;200.0;0.05;35.0;0.25;0.36;7
0.9986;13.1;8.9;200.0;0.05;35.0;0.25;0.36;7
0.9928;5.7;11.5;83.0;0.035;32.0;0.2;0.34;6
0.9986;13.1;8.9;200.0;0.05;35.0;0.25;0.36;7
0.9979;12.6;9.3;222.0;0.052;57.0;0.67;0.48;6
0.994;5.4;11.1;122.0;0.044;31.0;0.4;0.29;8
0.9937;2.2;10.9;128.0;0.044;29.0;0.26;0.31;8
0.9938;6.6;11.6;73.0;0.043;11.0;0.31;0.48;5
0.9942;6.9;10.2;117.0;0.069;9.0;0.39;0.24;4
0.9944;6.8;10.5;90.0;0.034;12.0;0.22;0.36;8
0.993;3.6;11.4;78.0;0.033;16.0;0.19;0.28;6
0.9986;13.1;8.9;200.0;0.05;35.0;0.25;0.36;7
0.9932;1.2;10.6;118.0;0.04;29.0;0.2;0.34;6
0.9934;5.9;11.6;97.0;0.037;39.0;0.26;0.32;6
0.9928;5.7;11.5;83.0;0.035;32.0;0.2;0.34;6
0.9925;4.1;12.3;155.0;0.035;26.0;0.3;0.33;8
0.9944;7.1;10.8;124.0;0.042;22.0;0.29;0.49;6
0.9909;1.4;11.3;130.0;0.037;55.0;0.17;0.3;6
0.9932;0.8;9.3;63.0;0.038;22.0;0.415;0.02;5
0.9934;1.3;10.0;128.0;0.045;16.0;0.23;0.26;6
1.0001;15.55;11.0;366.5;0.057;35.5;0.55;0.35;3
0.992;1.0;10.2;132.0;0.044;18.0;0.35;0.74;5
0.9916;1.6;10.8;103.0;0.04;27.0;0.14;0.74;7
0.998;11.8;10.1;137.0;0.042;29.0;0.28;0.49;4
0.9919;4.5;11.6;90.0;0.047;17.0;0.18;0.49;6
0.9925;1.1;9.1;105.0;0.051;25.0;0.165;0.24;5
0.9977;10.0;10.0;225.0;0.056;36.0;0.25;0.74;4
0.9944;7.1;10.8;124.0;0.042;22.0;0.29;0.49;6
0.991;0.9;11.4;128.0;0.052;26.0;0.22;0.49;6
0.99;1.0;12.7;140.0;0.045;34.0;0.22;0.49;6
0.9917;1.1;11.3;156.0;0.042;35.0;0.25;0.49;5
0.9923;1.1;10.4;81.0;0.033;28.0;0.18;0.49;7
0.9928;1.5;9.6;87.0;0.051;18.0;0.22;0.49;5
0.9923;1.0;10.1;119.0;0.048;8.0;0.39;0.24;4
0.9928;1.5;9.6;87.0;0.051;18.0;0.22;0.49;5
0.9902;2.9;12.1;94.0;0.03;16.0;0.36;0.49;7
0.9893;1.2;12.2;99.0;0.031;32.0;0.29;0.49;6
0.9917;1.1;11.3;156.0;0.042;35.0;0.25;0.49;5
0.9982;14.2;9.6;94.0;0.053;19.0;0.23;0.24;5
1.0005;17.85;9.2;243.0;0.051;51.0;0.56;0.74;5
0.9923;1.1;10.4;81.0;0.033;28.0;0.18;0.49;7
0.9951;7.1;9.5;210.0;0.05;67.0;0.23;0.49;5
0.9956;7.6;8.9;226.0;0.052;67.0;0.25;0.49;5
0.998;13.6;8.8;162.0;0.05;56.0;0.26;0.74;5
0.9928;1.4;10.5;117.0;0.057;17.0;0.31;0.24;5
0.9938;1.2;9.4;117.0;0.061;27.0;0.25;0.49;5
0.9914;5.3;12.2;125.0;0.04;34.0;0.18;0.49;6
0.9955;13.0;11.3;158.0;0.033;37.0;0.43;0.49;6
0.9924;4.45;12.2;130.0;0.044;33.0;0.2;0.74;6
0.9911;1.2;12.2;92.0;0.063;35.0;0.27;0.49;6
0.9917;1.2;11.2;150.0;0.055;18.0;0.16;0.49;6
0.9917;1.2;11.2;150.0;0.055;18.0;0.16;0.49;6
0.9932;6.6;11.5;172.0;0.036;49.0;0.19;0.49;6
0.9955;13.0;11.3;158.0;0.033;37.0;0.43;0.49;6
0.9929;1.1;9.3;138.0;0.048;11.0;0.4;0.49;5
0.9955;13.0;11.3;158.0;0.033;37.0;0.43;0.49;6
0.9958;14.0;11.8;156.0;0.034;37.0;0.52;0.49;7
1.0012;19.8;9.2;231.0;0.054;50.0;0.21;0.49;5
0.9968;11.2;9.2;150.0;0.069;44.0;0.34;0.74;5
0.9911;1.2;12.2;92.0;0.063;35.0;0.27;0.49;6
0.9924;4.45;12.2;130.0;0.044;33.0;0.2;0.74;6
0.991;2.7;12.2;144.0;0.044;42.0;0.22;0.74;6
0.9946;4.5;10.6;133.0;0.048;27.0;0.11;0.49;6
0.9928;3.6;12.4;128.0;0.05;29.0;0.17;0.74;6
0.9946;5.4;10.8;164.0;0.048;54.0;0.145;0.49;6
0.9917;1.2;11.2;150.0;0.055;18.0;0.16;0.49;6
0.9918;1.2;11.0;137.0;0.051;11.0;0.19;0.49;6
0.9926;9.1;12.7;151.0;0.031;46.0;0.44;0.49;8
0.9931;0.8;10.2;163.0;0.044;19.0;0.2;0.74;5
0.9932;6.6;11.5;172.0;0.036;49.0;0.19;0.49;6
0.9903;3.0;12.3;96.0;0.03;30.0;0.25;0.49;7
0.9928;1.6;9.8;60.0;0.046;15.0;0.24;0.24;5
0.9929;1.1;9.3;138.0;0.048;11.0;0.4;0.49;5
0.9958;14.0;11.8;156.0;0.034;37.0;0.52;0.49;7
0.9955;13.0;11.3;158.0;0.033;37.0;0.43;0.49;6
0.9911;1.35;11.4;48.0;0.052;6.0;0.21;0.49;5
0.9938;5.9;10.8;128.0;0.038;39.0;0.2;0.49;6
0.9942;3.6;9.5;85.0;0.057;13.0;0.25;0.24;4
0.9945;1.3;10.2;148.0;0.05;18.0;0.08;0.49;6
0.9962;8.7;10.7;184.0;0.028;40.0;0.85;0.49;5
0.992;1.2;10.8;104.0;0.04;10.0;0.51;0.24;6
0.9927;4.6;11.5;159.0;0.044;39.0;0.22;0.24;6
0.9948;2.0;10.7;124.0;0.056;20.0;0.16;0.49;6
0.9945;1.3;10.2;148.0;0.05;18.0;0.08;0.49;6
0.9942;1.7;10.1;124.0;0.048;26.0;0.25;0.24;6
0.9952;2.4;10.4;187.0;0.046;57.0;0.16;0.49;6
0.9942;3.6;9.5;85.0;0.057;13.0;0.25;0.24;4
0.9958;4.6;9.1;134.0;0.053;8.0;0.32;0.24;3
0.9918;1.5;10.6;126.0;0.034;20.0;0.28;0.49;6
0.9932;0.9;9.4;51.0;0.033;17.0;0.15;0.49;6
1.0004;19.4;9.8;169.0;0.054;44.0;0.25;0.74;6
0.9972;13.3;9.5;224.0;0.044;68.0;0.26;0.74;6
0.9998;17.85;9.3;187.0;0.037;52.0;0.16;0.74;5
0.9918;1.1;10.3;117.0;0.03;28.0;0.185;0.49;6
0.9918;1.3;11.1;97.0;0.031;8.0;0.2;0.49;5
0.9964;9.4;10.0;188.0;0.046;47.0;0.3;0.49;5
0.9936;9.0;12.3;180.0;0.033;39.0;0.34;0.49;8
0.9931;8.65;12.4;186.0;0.033;42.0;0.35;0.49;8
0.9938;9.6;12.3;197.0;0.03;45.0;0.29;0.49;7
0.9934;1.1;10.4;62.0;0.039;6.0;0.62;0.24;5
0.99;1.2;12.1;126.0;0.044;35.0;0.27;0.49;7
0.9914;1.8;12.5;86.0;0.041;23.0;0.27;0.49;6
0.9904;2.1;13.0;155.0;0.043;14.0;0.51;0.24;6
0.994;9.3;11.0;132.0;0.03;26.0;0.19;0.49;7
0.9938;1.7;10.1;169.0;0.04;34.0;0.2;0.49;5
0.9933;1.2;9.2;121.0;0.034;17.0;0.3;0.24;5
0.9909;4.6;12.6;124.0;0.039;24.0;0.36;0.24;7
0.9942;12.8;12.2;126.0;0.045;24.0;0.17;0.74;8
0.9945;1.5;9.8;130.0;0.041;39.0;0.18;0.49;7
0.9954;8.1;11.0;205.0;0.051;51.0;0.2;0.49;6
0.996;7.5;10.0;160.0;0.044;59.0;0.26;0.74;6
0.9991;14.5;9.8;170.0;0.06;50.0;0.21;0.49;6
0.993;1.6;10.5;144.0;0.053;15.0;0.2;0.49;5
0.9942;1.8;10.0;145.0;0.061;10.0;0.18;0.49;5
0.9934;3.2;11.2;126.0;0.042;15.0;0.23;0.74;6
0.9939;9.4;11.0;134.0;0.034;29.0;0.22;0.49;7
0.9937;9.9;11.2;161.0;0.031;48.0;0.22;0.49;6
0.994;9.3;11.0;132.0;0.03;26.0;0.19;0.49;7
0.9926;1.3;10.5;136.0;0.039;34.0;0.155;0.49;6
0.9951;9.6;10.6;154.0;0.037;53.0;0.22;0.49;6
0.9952;9.3;10.6;163.0;0.038;52.0;0.24;0.49;6
0.9935;7.8;12.0;95.0;0.035;22.0;0.23;0.49;6
0.9938;1.7;10.1;169.0;0.04;34.0;0.2;0.49;5
0.9939;1.7;10.1;167.0;0.038;38.0;0.2;0.49;6
0.9933;1.2;9.2;121.0;0.034;17.0;0.3;0.24;5
0.9927;1.4;11.0;164.0;0.041;15.0;0.21;0.49;5
0.998;9.0;10.0;185.0;0.044;31.0;0.25;0.49;6
0.9997;18.15;8.7;158.0;0.042;41.0;0.21;0.49;6
0.9981;12.5;8.7;156.0;0.037;47.0;0.27;0.74;5
0.992;1.1;11.1;156.0;0.037;33.0;0.27;0.49;6
0.9954;7.7;11.0;195.0;0.045;48.0;0.28;0.49;6
0.992;1.1;11.1;156.0;0.037;33.0;0.27;0.49;6
0.9997;18.15;8.7;158.0;0.042;41.0;0.21;0.49;6
0.9981;12.5;8.7;156.0;0.037;47.0;0.27;0.74;5
0.9943;8.1;11.2;174.0;0.037;26.0;0.3;0.49;7
0.9941;7.7;11.1;209.0;0.049;61.0;0.23;0.49;7
0.9936;5.0;10.8;107.0;0.028;32.0;0.26;0.49;6
0.9996;15.6;9.0;176.0;0.044;44.0;0.18;0.74;6
0.9932;1.5;10.3;122.0;0.031;17.0;0.15;0.49;6
0.9926;1.0;9.9;24.0;0.028;6.0;0.13;0.49;5
0.9936;1.0;10.0;148.0;0.04;32.0;0.28;0.49;6
0.992;1.0;9.8;106.0;0.034;26.0;0.17;0.49;6
0.9936;5.0;10.8;107.0;0.028;32.0;0.26;0.49;6
0.9996;15.6;9.0;176.0;0.044;44.0;0.18;0.74;6
0.993;0.8;9.1;86.0;0.029;29.0;0.53;0.24;4
0.9924;1.3;10.6;104.0;0.037;27.0;0.16;0.49;6
0.9928;1.1;10.6;99.0;0.038;28.0;0.14;0.49;6
0.9926;1.0;9.9;24.0;0.028;6.0;0.13;0.49;5
0.9952;5.2;10.6;152.0;0.049;33.0;0.12;0.49;6
0.9945;4.7;9.9;156.0;0.034;35.0;0.29;0.49;6
0.9945;4.8;9.9;158.0;0.034;36.0;0.3;0.49;6
0.9903;1.8;12.8;102.0;0.025;32.0;0.36;0.24;6
0.9932;1.5;10.3;122.0;0.031;17.0;0.15;0.49;6
0.9953;5.2;10.6;157.0;0.051;36.0;0.18;0.49;6
0.9936;1.2;8.7;129.0;0.122;45.0;0.19;0.99;6
0.9912;1.8;12.6;152.0;0.038;44.0;0.21;0.49;7
0.9962;7.6;11.0;156.0;0.057;25.0;0.3;0.49;7
0.9965;8.2;11.2;164.0;0.056;32.0;0.42;0.49;7
0.9932;1.3;10.7;148.0;0.032;35.0;0.24;0.49;7
0.9967;10.0;9.6;182.0;0.036;45.0;0.23;0.49;6
0.9953;5.2;10.6;157.0;0.051;36.0;0.18;0.49;6
0.9963;6.4;9.0;115.0;0.045;12.0;0.43;0.49;4
0.992;1.0;10.5;56.0;0.036;14.0;0.35;0.49;4
0.991;1.8;12.8;156.0;0.033;33.0;0.3;0.74;6
0.9958;2.0;10.1;112.0;0.059;10.0;0.28;0.49;5
0.99;1.5;12.2;126.0;0.027;26.0;0.34;0.49;7
0.991;1.8;12.8;156.0;0.033;33.0;0.3;0.74;6
0.9958;2.0;10.1;112.0;0.059;10.0;0.28;0.49;5
0.9938;3.5;10.1;117.0;0.044;29.0;0.19;0.49;6
0.9996;18.05;9.2;158.0;0.046;36.0;0.18;0.49;5
0.9946;1.8;9.9;110.0;0.055;19.0;0.19;0.49;5
0.9974;8.2;9.7;188.0;0.055;49.0;0.3;0.49;6
0.9945;5.0;9.9;157.0;0.038;35.0;0.3;0.74;5
0.9946;4.6;9.9;159.0;0.041;36.0;0.3;0.74;5
0.9974;8.2;9.7;188.0;0.055;49.0;0.3;0.49;6
0.9957;7.0;10.3;168.0;0.063;50.0;0.22;0.49;6
0.9931;3.1;10.3;116.0;0.045;21.0;0.26;0.49;5
0.9947;8.8;10.5;108.0;0.048;23.0;0.17;0.49;4
0.9953;2.4;10.5;182.0;0.053;61.0;0.17;0.74;6
0.9931;1.4;9.8;74.0;0.05;20.0;0.27;0.49;6
0.9946;1.8;10.6;128.0;0.05;17.0;0.64;0.49;4
0.9978;11.9;10.1;168.0;0.046;54.0;0.18;0.74;5
0.9989;13.4;9.0;191.0;0.062;50.0;0.31;0.49;4
1.0004;15.4;9.5;119.0;0.046;13.0;0.31;0.49;5
0.9938;7.2;11.5;84.0;0.039;32.0;0.3;0.49;6
0.9934;7.4;11.9;108.0;0.039;46.0;0.24;0.49;7
0.9978;11.9;10.1;168.0;0.046;54.0;0.18;0.74;5
0.9956;7.8;9.2;209.0;0.045;52.0;0.25;0.74;6
0.9982;13.5;8.7;165.0;0.039;46.0;0.3;0.74;5
0.9948;1.3;9.8;147.0;0.042;34.0;0.31;0.49;5
0.9956;7.8;9.2;209.0;0.045;52.0;0.25;0.74;6
0.9982;13.5;8.7;165.0;0.039;46.0;0.3;0.74;5
0.9926;1.5;11.2;122.0;0.036;27.0;0.27;0.74;6
0.991;1.2;12.3;165.0;0.028;30.0;0.14;0.74;6
0.9945;6.4;10.4;161.0;0.042;49.0;0.12;0.49;6
0.9916;1.2;10.7;111.0;0.047;25.0;0.21;0.74;6
0.9953;7.3;10.5;63.0;0.043;9.0;0.16;0.49;6
0.9938;3.8;9.4;136.0;0.047;37.0;0.29;0.49;6
0.9956;7.3;9.2;206.0;0.046;53.0;0.27;0.49;6
0.9906;2.7;11.9;122.0;0.034;56.0;0.55;0.01;5
0.9956;7.3;9.2;206.0;0.046;53.0;0.27;0.49;6
0.9932;1.4;9.9;108.0;0.172;24.0;0.24;0.74;6
0.9914;1.6;11.4;94.0;0.167;20.0;0.33;0.49;6
0.9938;3.8;9.4;136.0;0.047;37.0;0.29;0.49;6
0.996;8.0;10.7;223.0;0.046;55.0;0.34;0.49;6
0.9906;4.7;12.7;77.0;0.034;27.0;0.39;0.24;5
0.98815;1.9;13.5;53.0;0.034;10.0;0.41;0.24;7
0.9942;2.8;9.5;137.0;0.048;39.0;0.41;0.01;5
0.9903;2.2;12.9;113.0;0.032;31.0;0.26;0.49;9
0.9906;1.7;12.5;109.0;0.031;44.0;0.32;0.49;6
0.9935;4.9;9.5;118.0;0.04;44.0;0.19;0.49;7
1.0024;23.5;8.6;235.0;0.057;59.0;0.27;0.49;5
0.9968;11.8;10.0;212.0;0.048;46.0;0.2;0.49;7
0.9906;1.7;12.5;109.0;0.031;44.0;0.32;0.49;6
0.9941;5.2;10.1;100.0;0.04;19.0;0.26;0.49;6
0.9919;3.2;11.3;87.0;0.027;28.0;0.26;0.49;7
0.9928;1.5;10.6;120.0;0.035;42.0;0.14;0.49;7
0.9958;11.7;10.8;131.0;0.035;40.0;0.29;0.49;5
0.9932;1.6;10.7;140.0;0.047;42.0;0.19;0.49;6
0.9957;7.3;9.0;206.0;0.045;61.0;0.34;0.49;6
0.9937;1.6;9.2;143.0;0.065;17.0;0.2;0.49;6
0.9982;13.3;8.5;243.0;0.045;53.0;0.37;0.49;6
0.9928;6.0;11.3;128.0;0.029;31.0;0.22;0.49;8
0.9919;3.2;11.3;87.0;0.027;28.0;0.26;0.49;7
0.9956;1.6;9.4;131.0;0.05;17.0;0.32;0.49;5
0.9957;7.7;8.7;169.0;0.045;16.0;0.44;0.49;6
0.9954;5.9;9.4;118.0;0.053;22.0;0.14;0.49;6
0.993;1.0;10.5;131.0;0.039;46.0;0.17;0.49;7
0.9954;6.4;9.7;161.0;0.037;37.0;0.26;0.49;6
0.9987;10.4;10.2;195.0;0.048;52.0;0.22;0.49;6
0.9956;1.6;9.4;131.0;0.05;17.0;0.32;0.49;5
0.9928;3.5;11.5;108.0;0.057;14.0;0.2;0.49;6
0.9951;7.7;9.6;98.0;0.047;21.0;0.15;0.24;6
0.993;1.8;11.4;121.0;0.053;6.0;0.25;0.24;5
0.9928;3.5;11.5;108.0;0.057;14.0;0.2;0.49;6
0.9926;6.5;12.2;111.0;0.041;28.0;0.28;0.49;8
0.9938;6.7;11.0;110.0;0.037;15.0;0.19;0.49;7
1.0001;16.8;9.2;228.0;0.048;50.0;0.25;0.49;6
0.9933;1.6;10.2;126.0;0.035;21.0;0.14;0.74;6
